1788;1500;226;226
1111;709;223;223
1211;1283;223;223
2161;1425;213;213
392;981;213;213
243;1415;200;200
1927;1321;200;200
583;1532;194;194
1684;1270;187;187
35;1334;187;187
1616;1461;187;187
673;443;184;184
495;1169;181;181
1529;1124;181;181
45;1526;178;178
1509;1325;171;171
194;1185;165;165
42;806;158;158
463;524;152;152
278;395;152;152
106;1088;152;152
929;933;152;152
1736;1104;152;152
1386;1458;149;149
984;1555;149;149
1095;1441;149;149
233;1033;149;149
427;330;149;149
1334;829;145;145
382;667;142;142
207;1587;139;139
803;1091;136;136
667;1053;136;136
1334;1597;132;132
265;716;132;132
314;563;129;129
1010;1338;129;129
852;1493;129;129
9;968;126;126
1224;1519;126;126
450;1522;126;126
207;213;126;126
2060;1587;126;126
430;1383;126;126
1448;1040;123;123
1004;699;123;123
852;1247;123;123
294;887;119;119
136;965;119;119
1506;1551;119;119
874;476;119;119
1626;1023;119;119
1202;1014;119;119
336;1146;119;119
554;427;116;116
392;1260;113;113
589;806;113;113
421;835;113;113
923;622;113;113
1108;936;113;113
667;333;113;113
9;48;113;113
797;813;110;110
806;946;110;110
858;1377;110;110
648;1341;110;110
1023;1095;110;110
913;771;110;110
93;103;106;106
819;605;106;106
191;330;106;106
810;1597;106;106
1017;832;103;103
709;738;103;103
1341;1111;103;103
1143;1134;103;103
959;1198;103;103
609;602;103;103
1866;1234;103;103
1065;1198;100;100
696;865;97;97
1143;1603;97;97
573;1441;97;97
1321;972;152;152
502;767;97;97
213;861;93;93
579;897;93;93
712;651;90;90
1438;1283;90;90
735;1189;90;90
1435;1185;90;90
884;874;90;90
528;664;90;90
528;1354;87;87
314;1334;87;87
635;725;87;87
709;962;87;87
1108;1289;87;87
1250;939;84;84
803;706;84;84
761;1344;84;84
644;978;84;84
1253;1192;77;77
1370;1240;77;77
2099;1218;103;103
362;249;129;129
119;246;116;116
